Channel,PSSH Values,KID Values
ESPN,AAAAO3Bzc2gAAAAA7e+LqXnWSs6jyCfc1R0h7QAAABsIARIQo0B3sSygTqu2Su9IKgY49CIFRDIwMTA=,abb64aef482a0638f422054432303130
ESPN2,AAAAO3Bzc2gAAAAA7e+LqXnWSs6jyCfc1R0h7QAAABsIARIQiEd2a4+yTl2Y2xJmkLby1iIFRDIwMTE=,5d98db126690b6f2d622054432303131
FS1,Error processing data,Error processing data
FS2,Error processing data,Error processing data
MSNBC,Error processing data,Error processing data
BEIN1HD,Error processing data,Error processing data
BEIN2HD,Error processing data,Error processing data
ESPNEWS,AAAAO3Bzc2gAAAAA7e+LqXnWSs6jyCfc1R0h7QAAABsIARIQvCvQnm/KSESQ3NyGciB0eCIFRDIwMTI=,4490dcdc867220747822054432303132
MLBX15,Error processing data,Error processing data
UDNHD,Error processing data,Error processing data
